station_code,station,line_name,C/A,unit,datetime
N213R154,TREMONT AV,BD,N213,R154,2854
N215R237,182-183 STS,BD,N215,R237,2850
N217R112,FORDHAM RD,BD,N217,R112,2850
N218R112,FORDHAM RD,BD,N218,R112,2850
N220R155,KINGSBRIDGE RD,BD,N220,R155,2854
N221R155,KINGSBRIDGE RD,BD,N221,R155,2854
N222R156,BEDFORD PK BLVD,BD,N222,R156,2854
N223R156,BEDFORD PK BLVD,BD,N223,R156,2854
N224R157,NORWOOD 205 ST,D,N224,R157,2854
N225R157,NORWOOD 205 ST,D,N225,R157,2854
N300R113,7 AV,BDE,N300,R113,2854
N301R113,7 AV,BDE,N301,R113,2854
N303R015,5 AV/53 ST,EM,N303,R015,2854
N304R015,5 AV/53 ST,EM,N304,R015,2854
N305AR016,LEXINGTON AV/53,EM6,N305A,R016,2850
N305R017,LEXINGTON AV/53,EM6,N305,R017,2850
N306R017,LEXINGTON AV/53,EM6,N306,R017,2850
N307R359,COURT SQ-23 ST,EMG,N307,R359,2850
N309AR140,QUEENS PLAZA,EMR,N309A,R140,2854
N310R140,QUEENS PLAZA,EMR,N310,R140,2854
N311R339,36 ST,MR,N311,R339,2854
N312R339,36 ST,MR,N312,R339,2854
N314R238,STEINWAY ST,MR,N314,R238,2850
N315R238,STEINWAY ST,MR,N315,R238,2850
N316AR267,46 ST,MR,N316A,R267,2854
N316R267,46 ST,MR,N316,R267,2854
N317R267,46 ST,MR,N317,R267,2854
N318R298,NORTHERN BLVD,MR,N318,R298,2854
N319R298,NORTHERN BLVD,MR,N319,R298,2854
N322R340,65 ST,MR,N322,R340,2854
N323R018,JKSN HT-ROOSVLT,EFMR7,N323,R018,2850
N324R018,JKSN HT-ROOSVLT,EFMR7,N324,R018,2850
N325AR218,ELMHURST AV,MR,N325A,R218,2850
N327R254,GRAND-NEWTOWN,MR,N327,R254,2850
N329AR201,WOODHAVEN BLVD,MR,N329A,R201,2854
N329R201,WOODHAVEN BLVD,MR,N329,R201,2854
N330CR202,63 DR-REGO PARK,MR,N330C,R202,2850
N330R202,63 DR-REGO PARK,MR,N330,R202,2850
N331R219,67 AV,MR,N331,R219,2850
N332R219,67 AV,MR,N332,R219,2850
N333AR141,FOREST HILLS 71,EFMR,N333A,R141,2854
N333BR141,FOREST HILLS 71,EFMR,N333B,R141,2854
