GEO_ID,NAME,DP03_0001E,DP03_0002PE,DP03_0007PE,DP03_0013PE,DP03_0015PE,DP03_0017PE,DP03_0021PE,DP03_0025E,DP03_0027PE,DP03_0028PE,DP03_0029PE,DP03_0031PE,DP03_0041PE,DP03_0042PE,DP03_0043PE,DP03_0045PE,DP03_0062E,DP03_0063E,DP03_0074PE,DP03_0088E,DP03_0092E,DP03_0093E,DP03_0094E,DP03_0096PE,DP03_0097PE,DP03_0098PE,DP03_0099E,DP03_0099PE,DP03_0108PE,DP03_0113PE,DP03_0118PE,tract_id
1400000US36005041300,"Census Tract 413, Bronx County, New York",6073,74.1,25.9,61.5,58.3,73.5,69.9,42.6,25.5,34.0,22.5,11.9,10.9,32.7,11.4,2.1,48843,54616,38.1,20780,30218,38455,36693,86.7,39.0,49.6,1096,13.3,15.6,24.7,23.3,041300
1400000US36005041400,"Census Tract 414, Bronx County, New York",4370,59.6,40.4,52.2,83.8,75.3,57.3,48.8,32.9,29.3,21.7,9.8,7.9,34.1,8.0,4.1,52232,68982,25.8,24566,31000,42146,40436,93.4,53.9,50.9,342,6.6,8.3,6.5,9.7,041400
1400000US36005041500,"Census Tract 415, Bronx County, New York",4795,72.1,27.9,63.9,89.2,90.2,64.9,41.5,14.7,30.0,22.5,25.5,13.5,20.3,9.8,1.3,47000,52528,32.2,21161,30604,34730,42800,87.0,42.2,52.2,787,13.0,16.3,19.7,23.8,041500
1400000US36005041800,"Census Tract 418, Bronx County, New York",3181,67.8,32.2,57.0,83.3,75.8,50.6,42.7,31.0,28.5,18.8,17.2,9.1,44.2,2.7,1.6,40325,50005,29.8,17572,27361,32023,37344,93.4,49.6,52.5,260,6.6,9.4,8.2,10.4,041800
1400000US36005041900,"Census Tract 419, Bronx County, New York",5079,69.7,30.3,53.6,53.2,45.0,53.8,48.7,25.9,31.1,25.5,9.5,8.3,26.1,10.3,2.6,32632,46798,39.6,17954,26526,35950,43402,87.7,42.5,57.4,840,12.3,12.9,35.0,20.7,041900
1400000US36005042000,"Census Tract 420, Bronx County, New York",3102,59.1,40.9,53.4,82.6,86.7,57.0,47.7,23.6,39.7,21.0,9.2,17.6,43.8,3.0,0.7,37545,46437,42.2,19682,30828,42098,40478,86.7,49.2,47.4,493,13.3,14.2,48.9,23.4,042000
1400000US36005042100,"Census Tract 421, Bronx County, New York",4283,65.3,34.7,45.7,58.9,59.2,64.4,42.4,36.0,31.7,22.3,7.8,4.7,36.4,17.0,1.0,34827,49674,42.9,18911,23514,32354,31826,87.3,43.2,57.7,730,12.7,22.7,32.1,7.7,042100
1400000US36005042200,"Census Tract 422, Bronx County, New York",2571,64.3,35.7,57.1,69.4,95.0,45.4,46.2,26.2,35.3,18.7,14.6,9.2,40.9,9.6,9.3,46641,66779,20.9,23048,31092,45125,36083,85.9,53.6,43.1,464,14.1,18.0,45.3,15.2,042200
1400000US36005042300,"Census Tract 423, Bronx County, New York",3395,68.8,31.2,54.1,47.8,49.6,66.0,45.8,26.6,39.2,20.0,10.3,10.6,29.6,20.9,1.6,37461,60148,31.1,19846,28047,37215,37384,87.0,45.9,50.1,587,13.0,17.0,41.1,22.0,042300
1400000US36005042400,"Census Tract 424, Bronx County, New York",2176,61.2,38.8,58.2,65.7,85.0,57.8,57.1,37.7,27.4,14.7,9.0,15.5,31.8,1.8,10.7,76400,82436,14.2,28937,38333,59310,52143,87.0,59.2,35.2,303,13.0,16.9,40.0,14.4,042400
1400000US36005042500,"Census Tract 425, Bronx County, New York",4738,75.5,24.5,64.0,70.1,82.8,73.1,48.4,16.1,40.7,24.2,12.7,8.8,23.6,16.8,0.7,33553,54637,38.1,19492,18641,36155,36422,94.4,44.7,56.4,351,5.6,8.6,6.9,3.2,042500
1400000US36005042600,"Census Tract 426, Bronx County, New York",5533,66.1,33.9,58.3,100.0,81.4,42.9,39.9,48.8,24.3,21.0,1.8,8.9,48.9,5.4,5.4,83452,92925,11.0,30801,34634,52639,42003,92.6,74.0,34.5,478,7.4,6.4,0.0,23.6,042600
1400000US36005042800,"Census Tract 428, Bronx County, New York",1768,63.6,36.4,60.0,100.0,81.3,31.6,41.1,40.7,27.4,20.4,8.5,10.5,52.8,3.0,2.5,79531,91365,12.7,33048,37030,57670,36992,92.8,64.7,38.4,153,7.2,5.2,55.6,20.9,042800
1400000US36005042901,"Census Tract 429.01, Bronx County, New York",2974,58.6,41.4,41.8,37.7,49.4,70.9,46.8,26.1,32.4,25.1,11.6,9.5,19.2,14.0,2.4,36250,44939,40.7,14930,21958,39139,22305,92.3,48.9,54.0,313,7.7,13.9,36.3,4.4,042901
1400000US36005042902,"Census Tract 429.02, Bronx County, New York",3330,62.8,37.2,43.8,60.3,81.5,64.8,49.7,23.4,28.0,23.8,8.9,15.2,25.2,13.8,2.0,31678,44933,44.7,17995,21505,40850,28938,88.1,37.7,60.0,488,11.9,16.9,9.4,23.9,042902
1400000US36005043000,"Census Tract 430, Bronx County, New York",2947,65.1,34.9,49.8,33.3,66.2,40.2,40.2,28.0,28.6,23.9,16.1,7.0,33.6,16.8,3.0,63214,86571,23.7,27856,37500,53542,45974,91.9,64.0,44.6,288,8.1,8.9,20.2,12.3,043000
1400000US36005043100,"Census Tract 431, Bronx County, New York",8350,55.0,45.0,46.4,62.8,55.4,63.8,44.4,16.5,43.8,17.8,10.2,7.0,31.1,17.6,0.5,32960,42184,42.7,14602,22649,34023,29505,94.0,46.2,61.0,614,6.0,7.9,31.9,9.9,043100
