station_code,station,line_name,C/A,unit,GTFS_stop_id,station_name,station_id,lat,long
J017R432,CHAUNCEY ST,JZ,J017,R432,J28,Chauncey St,93,40.682893,-73.910456
J020R433,ALABAMA AV,J,J020,R433,J24,Alabama Av,91,40.676992,-73.898654
J021R434,VAN SICLEN AV,JZ,J021,R434,J23,Van Siclen Av,90,40.678024,-73.891688
J022R435,CLEVELAND ST,J,J022,R435,J22,Cleveland St,89,40.679947,-73.884639
J023R436,NORWOOD AV,JZ,J023,R436,J21,Norwood Av,88,40.68141,-73.880039
J024R437,CRESCENT ST,JZ,J024,R437,J20,Crescent St,87,40.683194,-73.873785
J025R003,CYPRESS HILLS,J,J025,R003,J19,Cypress Hills,86,40.689941,-73.87255
J028R004,75 ST-ELDERTS,JZ,J028,R004,J17,75 St,85,40.691324,-73.867139
J030R005,85 ST-FOREST PK,J,J030,R005,J16,85 St - Forest Pkwy,84,40.692435,-73.86001
J031R006,WOODHAVEN BLVD,JZ,J031,R006,J15,Woodhaven Blvd,83,40.693879,-73.851576
J032R006,WOODHAVEN BLVD,JZ,J032,R006,J15,Woodhaven Blvd,83,40.693879,-73.851576
J034R007,104 ST,JZ,J034,R007,J14,104 St,82,40.695178,-73.84433
J035R008,111 ST,J,J035,R008,J13,111 St,81,40.697418,-73.836345
J037R009,121 ST,JZ,J037,R009,J12,121 St,80,40.700492,-73.828294
JFK01R535,HOWARD BCH JFK,A,JFK01,R535,H03,Howard Beach - JFK Airport,198,40.660476,-73.830301
JFK02R535,HOWARD BCH JFK,A,JFK02,R535,H03,Howard Beach - JFK Airport,198,40.660476,-73.830301
JFK03R536,JFK JAMAICA CT1,E,JFK03,R536,G05,Jamaica Center - Parsons/Archer,278,40.702147,-73.801109
K017R401,CENTRAL AV,M,K017,R401,M10,Central Av,114,40.697857,-73.927397
K019R413,KNICKERBOCKER,M,K019,R413,M09,Knickerbocker Av,113,40.698664,-73.919711
K022R402,SENECA AVE,M,K022,R402,M06,Seneca Av,111,40.702762,-73.90774
K024R403,FOREST AVE,M,K024,R403,M05,Forest Av,110,40.704423,-73.903077
K025R404,FRESH POND RD,M,K025,R404,M04,Fresh Pond Rd,109,40.706186,-73.895877
K026R100,METROPOLITAN AV,M,K026,R100,M01,Middle Village - Metropolitan Av,108,40.711396,-73.889601
N001R173,INWOOD-207 ST,A,N001,R173,A02,Inwood - 207 St,143,40.868072,-73.919899
N002AR173,INWOOD-207 ST,A,N002A,R173,A02,Inwood - 207 St,143,40.868072,-73.919899
N003R185,DYCKMAN ST,A,N003,R185,A03,Dyckman St,144,40.865491,-73.927271
N006AR280,190 ST,A,N006A,R280,A05,190 St,145,40.859022,-73.93418
N007AR174,181 ST,A,N007A,R174,A06,181 St,146,40.851695,-73.937969
N009R174,181 ST,A,N009,R174,A06,181 St,146,40.851695,-73.937969
N010R126,175 ST,A,N010,R126,A07,175 St,147,40.847391,-73.939704
N011R126,175 ST,A,N011,R126,A07,175 St,147,40.847391,-73.939704
N012R035,168 ST,AC1,N012,R035,A09,168 St,148,40.840719,-73.939561
N013R035,168 ST,AC1,N013,R035,A09,168 St,148,40.840719,-73.939561
N016AR296,163 ST-AMSTERDM,C,N016A,R296,A10,163 St - Amsterdam Av,149,40.836013,-73.939892
N017R331,155 ST,C,N017,R331,A11,155 St,150,40.830518,-73.941514
N019R101,145 ST,ABCD,N019,R101,A12,145 St,151,40.824783,-73.944216
N020R101,145 ST,ABCD,N020,R101,A12,145 St,151,40.824783,-73.944216
N022R332,135 ST,BC,N022,R332,A14,135 St,152,40.817894,-73.947649
N023R332,135 ST,BC,N023,R332,A14,135 St,152,40.817894,-73.947649
N024R332,135 ST,BC,N024,R332,A14,135 St,152,40.817894,-73.947649
N025R102,125 ST,ACBD,N025,R102,A15,125 St,153,40.811109,-73.952343
N026R102,125 ST,ACBD,N026,R102,A15,125 St,153,40.811109,-73.952343
N029R333,116 ST,BC,N029,R333,A16,116 St,154,40.805085,-73.954882
N030R333,116 ST,BC,N030,R333,A16,116 St,154,40.805085,-73.954882
N034R334,CATHEDRAL PKWY,BC,N034,R334,A17,Cathedral Pkwy (110 St),155,40.800603,-73.958161
N035R334,CATHEDRAL PKWY,BC,N035,R334,A17,Cathedral Pkwy (110 St),155,40.800603,-73.958161
N037R314,103 ST,BC,N037,R314,A18,103 St,156,40.796092,-73.961454
N039R251,96 ST,BC,N039,R251,A19,96 St,157,40.791642,-73.964696
N040R251,96 ST,BC,N040,R251,A19,96 St,157,40.791642,-73.964696
N043R186,86 ST,BC,N043,R186,A20,86 St,158,40.785868,-73.968916
N044R187,81 ST-MUSEUM,BC,N044,R187,A21,81 St - Museum of Natural History,159,40.781433,-73.972143
N045R187,81 ST-MUSEUM,BC,N045,R187,A21,81 St - Museum of Natural History,159,40.781433,-73.972143
N046R281,72 ST,BC,N046,R281,A22,72 St,160,40.775594,-73.97641
N049R084,59 ST COLUMBUS,ABCD1,N049,R084,A24,59 St - Columbus Circle,161,40.768296,-73.981736
N051R084,59 ST COLUMBUS,ABCD1,N051,R084,A24,59 St - Columbus Circle,161,40.768296,-73.981736
N056R188,50 ST,CE,N056,R188,A25,50 St,162,40.762456,-73.985984
N057R188,50 ST,CE,N057,R188,A25,50 St,162,40.762456,-73.985984
N060R010,42 ST-PORT AUTH,ACENGRS1237W,N060,R010,R16,Times Sq - 42 St,11,40.754672,-73.986754
N062AR010,42 ST-PORT AUTH,ACENQRS1237W,N062A,R010,R16,Times Sq - 42 St,11,40.754672,-73.986754
N062R011,42 ST-PORT AUTH,ACENQRS1237W,N062,R011,R16,Times Sq - 42 St,11,40.754672,-73.986754
N063AR011,42 ST-PORT AUTH,ACENQRS1237W,N063A,R011,A27,42 St - Port Authority Bus Terminal,163,40.757308,-73.989735
N063R011,42 ST-PORT AUTH,ACENQRS1237W,N063,R011,A27,42 St - Port Authority Bus Terminal,163,40.757308,-73.989735
N067R012,34 ST-PENN STA,ACE,N067,R012,A28,34 St - Penn Station,164,40.752287,-73.993391
N068R012,34 ST-PENN STA,ACE,N068,R012,A28,34 St - Penn Station,164,40.752287,-73.993391
N069R013,34 ST-PENN STA,ACE,N069,R013,A28,34 St - Penn Station,164,40.752287,-73.993391
N070R012,34 ST-PENN STA,ACE,N070,R012,A28,34 St - Penn Station,164,40.752287,-73.993391
N071R013,34 ST-PENN STA,ACE,N071,R013,A28,34 St - Penn Station,164,40.752287,-73.993391
N072R012,34 ST-PENN STA,ACE,N072,R012,A28,34 St - Penn Station,164,40.752287,-73.993391
N073R013,34 ST-PENN STA,ACE,N073,R013,A28,34 St - Penn Station,164,40.752287,-73.993391
N075R111,23 ST,CE,N075,R111,A30,23 St,165,40.745906,-73.998041
N076R111,23 ST,CE,N076,R111,A30,23 St,165,40.745906,-73.998041
N077R111,23 ST,CE,N077,R111,A30,23 St,165,40.745906,-73.998041
N078R175,14 ST,ACEL,N078,R175,A31,14 St,166,40.740893,-74.00169
N080R138,W 4 ST-WASH SQ,ABCDEFM,N080,R138,A32,W 4 St,167,40.732338,-74.000495
N083R138,W 4 ST-WASH SQ,ABCDEFM,N083,R138,A32,W 4 St,167,40.732338,-74.000495
N086R282,SPRING ST,CE,N086,R282,A33,Spring St,168,40.726227,-74.003739
N087R282,SPRING ST,CE,N087,R282,A33,Spring St,168,40.726227,-74.003739
N089R139,CANAL ST,ACE,N089,R139,A34,Canal St,169,40.720824,-74.005229
N090R139,CANAL ST,ACE,N090,R139,A34,Canal St,169,40.720824,-74.005229
N091R029,CHAMBERS ST,ACE23,N091,R029,A36,Chambers St,170,40.714111,-74.008585
N092R029,CHAMBERS ST,ACE23,N092,R029,A36,Chambers St,170,40.714111,-74.008585
N094R029,WORLD TRADE CTR,ACE23,N094,R029,E01,World Trade Center,171,40.712582,-74.009781
N095AR014,FULTON ST,2345ACJZ,N095A,R014,A38,Fulton St,172,40.710197,-74.007691
N095R014,FULTON ST,ACJZ2345,N095,R014,A38,Fulton St,172,40.710197,-74.007691
N098R028,FULTON ST,2345ACJZ,N098,R028,A38,Fulton St,172,40.710197,-74.007691
N100R252,HIGH ST,AC,N100,R252,A40,High St,173,40.699337,-73.990531
N101R252,HIGH ST,AC,N101,R252,A40,High St,173,40.699337,-73.990531
N102R127,JAY ST-METROTEC,ACF,N102,R127,A41,Jay St - MetroTech,174,40.692338,-73.987342
N103R127,JAY ST-METROTEC,ACF,N103,R127,A41,Jay St - MetroTech,174,40.692338,-73.987342
N108R217,HOYT-SCHER,ACG,N108,R217,A42,Hoyt - Schermerhorn Sts,175,40.688484,-73.985001
N110R283,LAFAYETTE AV,C,N110,R283,A43,Lafayette Av,176,40.686113,-73.973946
N111R284,CLINTON-WASH AV,C,N111,R284,A44,Clinton - Washington Avs,177,40.683263,-73.965838
N112AR284,CLINTON-WASH AV,C,N112A,R284,A44,Clinton - Washington Avs,177,40.683263,-73.965838
N113R297,FRANKLIN AV,ACS,N113,R297,A45,Franklin Av,178,40.68138,-73.956848
N114R297,FRANKLIN AV,ACS,N114,R297,A45,Franklin Av,178,40.68138,-73.956848
N116R198,NOSTRAND AV,AC,N116,R198,A46,Nostrand Av,179,40.680438,-73.950426
N117R198,NOSTRAND AV,AC,N117,R198,A46,Nostrand Av,179,40.680438,-73.950426
N118R199,KINGSTON-THROOP,C,N118,R199,A47,Kingston - Throop Avs,180,40.679921,-73.940858
N119R199,KINGSTON-THROOP,C,N119,R199,A47,Kingston - Throop Avs,180,40.679921,-73.940858
N120AR153,UTICA AV,AC,N120A,R153,A48,Utica Av,181,40.679364,-73.930729
N120R153,UTICA AV,AC,N120,R153,A48,Utica Av,181,40.679364,-73.930729
N121BR438,RALPH AV,C,N121B,R438,A49,Ralph Av,182,40.678822,-73.920786
N122R439,ROCKAWAY AV,C,N122,R439,A50,Rockaway Av,183,40.67834,-73.911946
N123BR439,ROCKAWAY AV,C,N123B,R439,A50,Rockaway Av,183,40.67834,-73.911946
N124R103,BROADWAY JCT,ACJLZ,N124,R103,A51,Broadway Jct,184,40.678334,-73.905316
N125R440,LIBERTY AV,C,N125,R440,A52,Liberty Av,185,40.674542,-73.896548
N126R441,VAN SICLEN AVE,C,N126,R441,A53,Van Siclen Av,186,40.67271,-73.890358
N127R442,SHEPHERD AV,C,N127,R442,A54,Shepherd Av,187,40.67413,-73.88075
N128R200,EUCLID AV,AC,N128,R200,A55,Euclid Av,188,40.675377,-73.872106
N129R382,GRANT AV,A,N129,R382,A57,Grant Av,189,40.677044,-73.86505
N130R383,80 ST,A,N130,R383,A59,80 St,190,40.679371,-73.858992
N131R383,80 ST,A,N131,R383,A59,80 St,190,40.679371,-73.858992
N133R384,88 ST,A,N133,R384,A60,88 St,191,40.679843,-73.85147
N134R385,ROCKAWAY BLVD,A,N134,R385,A61,Rockaway Blvd,192,40.680429,-73.843853
N135R385,ROCKAWAY BLVD,A,N135,R385,A61,Rockaway Blvd,192,40.680429,-73.843853
N137R354,104 ST,A,N137,R354,A63,104 St,193,40.681711,-73.837683
N138R355,111 ST,A,N138,R355,A64,111 St,194,40.684331,-73.832163
N139R355,111 ST,A,N139,R355,A64,111 St,194,40.684331,-73.832163
N141R356,OZONE PK LEFFRT,A,N141,R356,A65,Ozone Park - Lefferts Blvd,195,40.685951,-73.825798
N181AR464,AQUEDUCT RACETR,A,N181A,R464,H01,Aqueduct Racetrack,196,40.672097,-73.835919
N181R357,AQUEDUCT N.COND,A,N181,R357,H02,Aqueduct - N Conduit Av,197,40.668234,-73.834058
N182R414,HOWARD BCH JFK,A,N182,R414,H03,Howard Beach - JFK Airport,198,40.660476,-73.830301
N183R415,BROAD CHANNEL,AS,N183,R415,H04,Broad Channel,199,40.608382,-73.815925
N184R416,BEACH 90 ST,AS,N184,R416,H12,Beach 90 St,200,40.588034,-73.813641
N185R417,BEACH 98 ST,AS,N185,R417,H13,Beach 98 St,201,40.585307,-73.820558
N186R418,BEACH 105 ST,AS,N186,R418,H14,Beach 105 St,202,40.583209,-73.827559
N187R419,ROCKAWAY PARK B,AS,N187,R419,H15,Rockaway Park - Beach 116 St,203,40.580903,-73.835592
N191R335,BEACH 67 ST,A,N191,R335,H06,Beach 67 St,204,40.590927,-73.796924
N192R336,BEACH 60 ST,A,N192,R336,H07,Beach 60 St,205,40.592374,-73.788522
N193R337,BEACH 44 ST,A,N193,R337,H08,Beach 44 St,206,40.592943,-73.776013
N194R338,BEACH 36 ST,A,N194,R338,H09,Beach 36 St,207,40.595398,-73.768175
N195R358,BEACH 25 ST,A,N195,R358,H10,Beach 25 St,208,40.600066,-73.761353
N196R285,FAR ROCKAWAY,A,N196,R285,H11,Far Rockaway - Mott Av,209,40.603995,-73.755405
N202R315,155 ST,BD,N202,R315,D12,155 St,220,40.830135,-73.938209
N203R195,161/YANKEE STAD,BD4,N203,R195,D11,161 St - Yankee Stadium,219,40.827905,-73.925651
