station_code,station,GTFS_stop_id,C/A,line_name,NTACode,NTAName,geometry,lat,long,unit
C028R216,BAY RIDGE-95 ST,R45,C028,R,BK31,Bay Ridge,POINT (-74.03087600000001 40.616622),40.616622,-74.030876,R216
D001R390,8 AV,N02,D001,N,BK34,Sunset Park East,POINT (-74.011719 40.635064),40.635064,-74.011719,R390
D002R390,8 AV,N02,D002,N,BK34,Sunset Park East,POINT (-74.011719 40.635064),40.635064,-74.011719,R390
D003R391,FT HAMILTON PKY,N03,D003,N,BK88,Borough Park,POINT (-74.005351 40.631386),40.631386,-74.005351,R391
D004R391,FT HAMILTON PKY,N03,D004,N,BK88,Borough Park,POINT (-74.005351 40.631386),40.631386,-74.005351,R391
D005R398,NEW UTRECHT AV,N04,D005,ND,BK28,Bensonhurst West,POINT (-73.996353 40.624842),40.624842,-73.996353,R398
D006R398,NEW UTRECHT AV,N04,D006,ND,BK28,Bensonhurst West,POINT (-73.996353 40.624842),40.624842,-73.996353,R398
D008R392,18 AV,N05,D008,N,BK28,Bensonhurst West,POINT (-73.990414 40.620671),40.620671,-73.990414,R392
D009R393,20 AV,N06,D009,N,BK28,Bensonhurst West,POINT (-73.985026 40.61741),40.61741,-73.985026,R393
D010R394,BAY PKWY,N07,D010,N,BK29,Bensonhurst East,POINT (-73.981848 40.611815),40.611815,-73.981848,R394
D011R394,BAY PKWY,N07,D011,N,BK29,Bensonhurst East,POINT (-73.981848 40.611815),40.611815,-73.981848,R394
D012R395,KINGS HWY,N08,D012,N,BK29,Bensonhurst East,POINT (-73.98035300000001 40.60392299999999),40.603922999999995,-73.98035300000001,R395
D015R396,AVENUE U,N09,D015,N,BK29,Bensonhurst East,POINT (-73.97913699999999 40.597473),40.597473,-73.979137,R396
D016R397,86 ST,N10,D016,N,BK26,Gravesend,POINT (-73.97823000000001 40.592721),40.592721000000004,-73.97823000000001,R397
E001R368,9 AV,B12,E001,D,BK34,Sunset Park East,POINT (-73.99432400000001 40.646292),40.646291999999995,-73.994324,R368
E003R369,FT HAMILTON PKY,B13,E003,D,BK34,Sunset Park East,POINT (-73.994304 40.640914),40.640914,-73.994304,R369
E004R234,50 ST,B14,E004,D,BK88,Borough Park,POINT (-73.99479100000001 40.63626),40.63626,-73.994791,R234
E005R247,55 ST,B15,E005,D,BK88,Borough Park,POINT (-73.995476 40.631435),40.631434999999996,-73.995476,R247
E009R370,71 ST,B17,E009,D,BK28,Bensonhurst West,POINT (-73.998864 40.619589),40.619589000000005,-73.998864,R370
E011R371,79 ST,B18,E011,D,BK28,Bensonhurst West,POINT (-74.00060999999999 40.613501),40.613501,-74.00061,R371
